,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Children,Gasto_Total
37,NoGraduation,Con Pareja,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,48,1,81
38,Graduation,Soltero,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,51,1,67
39,Doctorate,Soltero,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,81,0,902
40,Graduation,Con Pareja,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,44,1,1395
41,Master,Con Pareja,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,39,1,53
42,Graduation,Con Pareja,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,67,1,22
43,Doctorate,Soltero,51381.5,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,65,0,186
44,Master,Con Pareja,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,49,1,31
45,Graduation,Soltero,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,48,0,984
46,NoGraduation,Con Pareja,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,28,0,122
47,Graduation,Con Pareja,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,56,1,55
48,Graduation,Soltero,51381.5,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,73,3,124
50,Graduation,Soltero,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,67,1,507
51,Master,Con Pareja,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,60,0,1693
52,Graduation,Soltero,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,47,1,72
53,Graduation,Soltero,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,47,0,1617
55,Master,Con Pareja,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,69,0,1957
56,Graduation,Soltero,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,58,0,1093
57,Graduation,Soltero,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,36,1,29
58,Graduation,Soltero,51381.5,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,42,1,46
59,Doctorate,Con Pareja,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,56,1,518
60,Master,Soltero,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,42,0,1438
61,Graduation,Con Pareja,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,49,2,612
62,Graduation,Soltero,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,72,1,884
63,Doctorate,Soltero,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,73,1,606
64,Graduation,Con Pareja,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,76,0,1076
65,Graduation,Con Pareja,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,53,1,34
66,Graduation,Con Pareja,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,57,2,11
67,NoGraduation,Soltero,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,45,1,1274
68,Graduation,Con Pareja,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,66,1,653
70,Master,Con Pareja,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,70,0,1253
71,NoGraduation,Con Pareja,51381.5,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,51,1,109
72,Graduation,Con Pareja,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,65,1,863
73,Doctorate,Con Pareja,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,49,2,661
74,Graduation,Con Pareja,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,72,0,65
75,Graduation,Soltero,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,47,1,13
76,Master,Con Pareja,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,52,0,1890
77,Graduation,Soltero,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,48,0,2209
78,NoGraduation,Con Pareja,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,48,0,18
79,Graduation,Con Pareja,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,59,0,692
80,Graduation,Soltero,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,39,1,165
81,Graduation,Con Pareja,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,55,1,16
82,NoGraduation,Con Pareja,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,51,1,79
83,Master,Con Pareja,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,61,0,318
84,Graduation,Soltero,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,37,0,778
85,Graduation,Con Pareja,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,64,2,56
86,Master,Con Pareja,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,54,2,151
87,Graduation,Soltero,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,67,1,372
88,Graduation,Con Pareja,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,51,0,1366
89,Graduation,Con Pareja,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,57,1,194
91,Graduation,Soltero,51381.5,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,67,2,18
92,Master,Con Pareja,51381.5,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,51,0,985
93,Master,Soltero,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,52,1,32
94,Doctorate,Con Pareja,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,54,1,43
95,Graduation,Con Pareja,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,41,1,45
96,Graduation,Soltero,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,64,1,606
97,Graduation,Soltero,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,52,2,63
98,NoGraduation,Con Pareja,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,73,0,978
99,Doctorate,Con Pareja,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,41,0,410
100,NoGraduation,Soltero,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,64,1,72
101,Doctorate,Soltero,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,65,1,55
102,Graduation,Con Pareja,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,45,1,1169
103,Doctorate,Con Pareja,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,79,0,1120
105,NoGraduation,Con Pareja,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,45,1,29
106,Graduation,Con Pareja,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,60,2,187
107,Graduation,Con Pareja,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,55,2,910
108,Graduation,Soltero,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,46,1,145
109,Master,Con Pareja,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,64,0,850
110,Graduation,Con Pareja,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,45,1,969
112,Master,Con Pareja,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,61,1,608
113,Graduation,Soltero,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,33,0,730
114,Doctorate,Con Pareja,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,44,1,551
115,Graduation,Soltero,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,62,2,114
116,Graduation,Con Pareja,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,54,0,1724
117,NoGraduation,Con Pareja,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,46,1,577
118,NoGraduation,Con Pareja,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,57,2,81
119,Graduation,Con Pareja,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,55,1,33
120,Master,Con Pareja,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,71,1,660
121,Master,Soltero,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,57,1,80
122,Master,Con Pareja,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,39,2,30
123,Graduation,Soltero,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,48,1,43
124,Graduation,Soltero,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,41,0,1135
125,NoGraduation,Con Pareja,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,59,0,559
126,Graduation,Soltero,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,40,0,1923
127,Master,Con Pareja,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,71,2,90
128,Doctorate,Con Pareja,51381.5,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,63,1,404
129,Doctorate,Con Pareja,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,68,2,661
130,Graduation,Con Pareja,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,72,1,463
131,Master,Soltero,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,66,2,632
132,Graduation,Con Pareja,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,55,0,725
133,Graduation,Con Pareja,51381.5,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,61,1,725
134,Doctorate,Con Pareja,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,60,2,279
135,Doctorate,Con Pareja,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,57,0,1482
136,NoGraduation,Soltero,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,48,1,29
137,Doctorate,Con Pareja,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,65,3,106
138,Doctorate,Soltero,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,51,2,49
139,Doctorate,Soltero,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,59,2,38
140,Master,Soltero,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,32,0,2077
141,Master,Con Pareja,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,48,1,1053
142,Graduation,Con Pareja,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,62,0,1385
143,Doctorate,Soltero,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,50,1,871
144,Graduation,Con Pareja,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,36,1,312
145,Graduation,Con Pareja,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,48,2,877
146,Graduation,Con Pareja,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,49,1,68
147,Graduation,Con Pareja,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,43,1,22
149,Master,Con Pareja,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,58,0,127
150,Master,Con Pareja,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,71,2,459
151,Graduation,Con Pareja,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,55,1,460
152,NoGraduation,Con Pareja,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,52,1,429
153,Graduation,Soltero,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,36,1,89
154,Doctorate,Con Pareja,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,72,1,1021
155,Graduation,Con Pareja,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,75,0,1381
156,Graduation,Soltero,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,66,1,306
157,Graduation,Soltero,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,46,3,18
158,Graduation,Con Pareja,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,47,1,162
159,Graduation,Soltero,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,69,0,1231
160,Master,Soltero,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,66,3,13
162,Graduation,Con Pareja,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,40,1,121
163,Doctorate,Soltero,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,49,0,1293
165,Graduation,Con Pareja,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,58,3,88
166,Graduation,Soltero,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,71,0,421
167,Graduation,Soltero,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,65,0,259
168,Graduation,Soltero,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,36,0,1117
169,Graduation,Con Pareja,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,67,2,89
170,Graduation,Con Pareja,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,59,2,36
171,Graduation,Con Pareja,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,42,1,57
172,Graduation,Con Pareja,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,54,2,148
173,Doctorate,Con Pareja,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,65,2,93
174,Graduation,Soltero,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,57,1,119
176,Doctorate,Con Pareja,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,76,0,1318
177,Doctorate,Con Pareja,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,54,2,45
178,Graduation,Con Pareja,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,65,3,10
179,NoGraduation,Con Pareja,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,73,0,978
180,Doctorate,Con Pareja,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,48,1,191
181,NoGraduation,Con Pareja,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,36,1,57
182,Master,Con Pareja,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,78,0,1033
183,Master,Con Pareja,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,40,1,66
184,NoGraduation,Con Pareja,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,63,0,43
185,Graduation,Con Pareja,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,41,1,50
186,Doctorate,Soltero,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,54,1,39
187,Graduation,Con Pareja,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,58,1,608
188,Graduation,Con Pareja,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,48,0,1581
189,Doctorate,Con Pareja,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,60,2,68
190,NoGraduation,Con Pareja,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,46,1,80
191,Doctorate,Con Pareja,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,35,0,1282
193,Graduation,Con Pareja,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,36,1,91
194,Graduation,Con Pareja,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,51,2,315
195,Graduation,Con Pareja,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,47,2,31
196,Master,Con Pareja,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,44,0,834
197,Graduation,Con Pareja,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,70,0,1600
198,Graduation,Con Pareja,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,70,0,1270
199,Doctorate,Soltero,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,51,2,263
200,Graduation,Soltero,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,72,1,535
201,Graduation,Soltero,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,56,0,1295
202,Graduation,Soltero,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,46,1,1150
203,Doctorate,Con Pareja,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,47,0,1240
204,Doctorate,Soltero,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,59,2,38
205,Master,Soltero,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,40,0,35
206,Graduation,Con Pareja,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,36,1,53
207,Master,Soltero,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,61,2,293
208,Graduation,Con Pareja,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,58,1,65
210,Graduation,Con Pareja,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,68,1,241
211,Graduation,Con Pareja,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,70,0,1101
214,Graduation,Con Pareja,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,39,0,1198
215,Graduation,Con Pareja,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,47,1,482
216,NoGraduation,Soltero,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,46,3,17
217,Master,Con Pareja,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,76,0,1615
218,Master,Soltero,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,70,1,285
219,Graduation,Con Pareja,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,44,1,1135
220,NoGraduation,Con Pareja,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,36,1,114
221,Graduation,Con Pareja,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,55,0,1047
222,Doctorate,Con Pareja,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,54,2,714
223,Doctorate,Con Pareja,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0,44,1,185
224,Graduation,Soltero,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0,62,1,1245
225,Graduation,Con Pareja,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0,46,1,189
226,Graduation,Con Pareja,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,48,1,576
227,Graduation,Soltero,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,72,1,1103
228,Doctorate,Con Pareja,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,52,0,1753
229,Doctorate,Con Pareja,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,38,1,17
231,NoGraduation,Soltero,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,62,1,1588
232,Graduation,Con Pareja,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,53,1,22
233,Graduation,Soltero,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0,73,0,19
234,Doctorate,Con Pareja,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0,59,1,1117
235,NoGraduation,Con Pareja,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,49,1,69
